あいそんない,例:じーちゃんがいかれて、ほんまにあいそんないねー,だらしない,かわいい,あいそうがない,わびしい,4
あしめる,例:なんをあしめにしとるがけ,当てにする,ばかにする,かっこいい,物思いに耽る,1
あじこと,例:何の便りもせんもんで、あじことしとったわ,情けない話,心配,アジのフライ,美味しい,2
あまみ,例:あまみができてしもた,果物,簡単な様子,火に当って、皮膚にできる斑点,奄美大島,3
あわ,例:あわがいった,表層雪崩,アワビ,申し訳ないこと,大惨事,1
あんま,例:おら、あんまながやぜ,おかず,子供,長男,元気のあること,3
いのく,例:なんやら、いのいとる,おなら,動く,異国の地,村人,2
うい(1),例:風邪をひいたがか、なんやらからだがういわ,嬉しいこと,当てにする,かわいい,つらい。苦しい,4
うい(2),例:儲けのない仕事ばっかで、ういやのー,大事な,気が進まない,動物,命,2
うざくらしい,例:なんちゅううざくらしい虫なが,気味が悪い,気の利く,父親,母親,1
うしなかす,例:大事なもんながにうしなかしてしもた,あげる,食べる,失う,貰う,3
うやない(1),例:毎日雨がふって、うやないのー,勿体無い,気持ちが悪い,うやうやしい,嬉しい,2
うやない(2),例:そんなうやない話にのるわけにいかん,勘違い,良い,儲からない,あやしい,4
えんなか,例:えんなかであたられ,縁側,台所,囲炉裏,トイレ,3
おたくらもん,例:おりゃ、おたくらもんだちゃ,狡猾な人,オタク,隣近所,親戚,1
